OBJECTID,ID,DIST_NM,DIST_NUM,CNTY_NM,CNTY_NUM,TRF_STA_ID,AADT_2022,x,y
1,4673,El Paso,24,Hudspeth,116,116CR25,6,-105.480330999876,31.2203520003446
2,4713,El Paso,24,Hudspeth,116,116CR49A,5,-105.37282600022,31.1799279995776
3,4745,El Paso,24,Hudspeth,116,116CR21,5,-105.126899999735,31.1158200001929
4,5721,El Paso,24,El Paso,72,72UC1330,4,-106.620399000014,31.8534029998486
5,6529,El Paso,24,El Paso,72,72FS40,12,-106.613700999601,31.9278340004388
6,11689,El Paso,24,El Paso,72,72UA1366,12,-106.52569599987,31.9081079999843
7,12297,El Paso,24,El Paso,72,72U1339,11,-106.642898999789,32.0105400004207
8,13793,El Paso,24,El Paso,72,72RS9,10,-106.17791699957,31.463888000331
9,15409,El Paso,24,El Paso,72,72UF817,12,-106.197632000416,31.6798690003541
10,21721,El Paso,24,El Paso,72,72FS48,8,-106.191726999701,31.8239040001695
11,22345,El Paso,24,El Paso,72,72FS7,4,-106.105972000308,31.6541499996229
12,22361,El Paso,24,El Paso,72,72FS16,2,-106.096557999652,31.6769390001348
13,22513,El Paso,24,El Paso,72,72FS25,10,-106.098640000336,31.8307650000048
14,22553,El Paso,24,El Paso,72,72RS4,2,-106.069785999824,31.8532239996879
15,22569,El Paso,24,El Paso,72,72FS22,3,-106.06084400025,31.8877300000395
16,22601,El Paso,24,El Paso,72,72FS21,8,-106.029076000257,31.9339389995852
17,22609,El Paso,24,El Paso,72,72FS38,14,-106.027015999689,31.9369390003346
18,22777,El Paso,24,Hudspeth,116,116CR3,14,-105.344733999774,31.4831389995653
19,22785,El Paso,24,Hudspeth,116,116FS3,5,-105.2300259998,31.8817690003391
20,22793,El Paso,24,Hudspeth,116,116CR4,6,-105.204292000176,31.8773980002176
21,22817,El Paso,24,Hudspeth,116,116CR5,6,-105.203467999948,31.8928870004348
22,22929,El Paso,24,Hudspeth,116,116RS1,14,-105.108383000175,31.9235459996482
