"ISO3","National Unit","Name","Admin Level","Metric","Units","Year","Value"
"NGA","Nigeria","Edo","admin1","Incidence Rate","Cases per Thousand",2010,377.97078364613003
"NGA","Nigeria","Edo","admin1","Incidence Rate","Cases per Thousand",2011,351.59266198454804
"NGA","Nigeria","Edo","admin1","Incidence Rate","Cases per Thousand",2012,324.145281115915
"NGA","Nigeria","Edo","admin1","Incidence Rate","Cases per Thousand",2013,297.06812858329
"NGA","Nigeria","Edo","admin1","Incidence Rate","Cases per Thousand",2014,273.957934284567
"NGA","Nigeria","Edo","admin1","Incidence Rate","Cases per Thousand",2015,251.211288290388
"NGA","Nigeria","Edo","admin1","Incidence Rate","Cases per Thousand",2016,235.367384830091
"NGA","Nigeria","Edo","admin1","Incidence Rate","Cases per Thousand",2017,241.77967561623302
"NGA","Nigeria","Edo","admin1","Incidence Rate","Cases per Thousand",2018,258.658941881736
"NGA","Nigeria","Edo","admin1","Incidence Rate","Cases per Thousand",2019,271.47848883074
"NGA","Nigeria","Edo","admin1","Incidence Rate","Cases per Thousand",2020,286.41026708705704
"NGA","Nigeria","Edo","admin1","Incidence Rate","Cases per Thousand",2021,272.558303674654
"NGA","Nigeria","Edo","admin1","Incidence Rate","Cases per Thousand",2022,245.007643108422
"NGA","Nigeria","Edo","admin1","Infection Prevalence","per 100 Children",2010,41.927233789301496
"NGA","Nigeria","Edo","admin1","Infection Prevalence","per 100 Children",2011,38.1348149041547
"NGA","Nigeria","Edo","admin1","Infection Prevalence","per 100 Children",2012,34.2085306960965
"NGA","Nigeria","Edo","admin1","Infection Prevalence","per 100 Children",2013,30.5433009442852
"NGA","Nigeria","Edo","admin1","Infection Prevalence","per 100 Children",2014,27.3949465190722
"NGA","Nigeria","Edo","admin1","Infection Prevalence","per 100 Children",2015,24.073018241230102
"NGA","Nigeria","Edo","admin1","Infection Prevalence","per 100 Children",2016,21.9839294763728
"NGA","Nigeria","Edo","admin1","Infection Prevalence","per 100 Children",2017,23.0990926367863
"NGA","Nigeria","Edo","admin1","Infection Prevalence","per 100 Children",2018,25.7965861125519
"NGA","Nigeria","Edo","admin1","Infection Prevalence","per 100 Children",2019,28.2202712953801
"NGA","Nigeria","Edo","admin1","Infection Prevalence","per 100 Children",2020,30.6160728071822
"NGA","Nigeria","Edo","admin1","Infection Prevalence","per 100 Children",2021,28.6754745097415
"NGA","Nigeria","Edo","admin1","Infection Prevalence","per 100 Children",2022,25.591095853060303
"NGA","Nigeria","Edo","admin1","Mortality Rate","Deaths per 100 Thousand",2010,153.2746
"NGA","Nigeria","Edo","admin1","Mortality Rate","Deaths per 100 Thousand",2011,138.7651
"NGA","Nigeria","Edo","admin1","Mortality Rate","Deaths per 100 Thousand",2012,131.7812
"NGA","Nigeria","Edo","admin1","Mortality Rate","Deaths per 100 Thousand",2013,122.41109999999999
"NGA","Nigeria","Edo","admin1","Mortality Rate","Deaths per 100 Thousand",2014,115.16
"NGA","Nigeria","Edo","admin1","Mortality Rate","Deaths per 100 Thousand",2015,108.67089999999999
